,arcstr,aug_factor,augment,batch_size,contrast,data_path,learning_rate,output_val,reg,split_by_job,test_split_frac,transform,val_split_frac
0,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,A,./LR2HR_D3D/D3D_Full_0.3_A.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
1,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,A,./LR2HR_D3D/D3D_Full_0.5_A.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
2,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,A,./LR2HR_D3D/D3D_Full_1.0_A.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
3,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,A,./LR2HR_D3D/D3D_Full_1.5_A.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
4,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,A,./LR2HR_D3D/D3D_Full_2.0_A.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
5,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,C,./LR2HR_D3D/D3D_Full_0.3_C.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
6,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,C,./LR2HR_D3D/D3D_Full_0.5_C.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
7,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,C,./LR2HR_D3D/D3D_Full_1.0_C.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
8,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,C,./LR2HR_D3D/D3D_Full_1.5_C.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
9,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,C,./LR2HR_D3D/D3D_Full_2.0_C.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
10,"c16,a1k2s2,c32,a1k2s2,c64,a1k2s2,c128,a1k2s2,d128,d64",4,True,32,C,./LR2HR_D3D/D3D_Full_2.0_C.h5,0.0001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",None,-1,0,True,0.2
